Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-06T17:44:06.216Z","","","Included","claude-4.6-opus-max-thinking","No","248050","106023","8401054","42006","8797133","Included"
"2026-03-06T17:39:49.886Z","","","Included","composer-1.5","No","0","31467","75488","1865","108820","Included"
"2026-03-06T17:36:24.518Z","","","Included","claude-4.6-opus-max-thinking","No","163349","5","318204","5879","487437","Included"
"2026-03-06T17:34:10.655Z","","","Included","claude-4.6-opus-max-thinking","No","158050","4","157915","116","316085","Included"
"2026-03-06T16:59:38.140Z","","","Included","claude-4.6-opus-max-thinking","No","129447","94076","11213779","48570","11485872","Included"
"2026-03-06T16:55:54.214Z","","","Included","claude-4.6-opus-max-thinking","No","129282","6","477789","496","607573","Included"
"2026-03-06T16:48:54.852Z","","","Included","claude-4.6-opus-max-thinking","No","128123","14","1667978","2232","1798347","Included"
"2026-03-06T16:42:14.753Z","","","Included","claude-4.6-opus-max-thinking","No","123672","3","22807","641","147123","Included"
"2026-03-06T16:05:18.106Z","","","Included","claude-4.6-opus-max-thinking","No","47958","43","5198888","28321","5275210","Included"
"2026-03-06T16:03:01.103Z","","","Included","claude-4.6-opus-max-thinking","No","1087","3","96603","365","98058","Included"
"2026-03-06T16:00:13.911Z","","","Included","claude-4.6-opus-max-thinking","No","73796","3","22807","524","97130","Included"
"2026-03-06T15:52:38.699Z","","","Included","claude-4.6-opus-max-thinking","No","73177","6","300715","2133","376031","Included"
"2026-03-06T15:29:42.761Z","","","Included","composer-1.5","No","0","24282","45344","1698","71324","Included"
"2026-03-06T15:29:20.793Z","","","Included","composer-1.5","No","0","14516","56448","1942","72906","Included"
"2026-03-06T15:21:04.796Z","","","Included","composer-1.5","No","0","60239","108192","2212","170643","Included"
"2026-03-06T15:20:41.306Z","","","Included","claude-4.6-opus-max-thinking","No","248801","123280","5819147","34786","6226014","Included"
"2026-03-06T15:06:44.110Z","","","Included","claude-4.6-opus-max-thinking","No","1859","4","309339","1167","312369","Included"
"2026-03-06T15:02:42.639Z","","","Included","claude-4.6-opus-max-thinking","No","500","3","153624","572","154699","Included"
"2026-03-06T14:44:50.403Z","","","Included","claude-4.6-opus-max-thinking","No","18156","34","4625797","10588","4654575","Included"
"2026-03-06T14:35:07.598Z","","","Included","claude-4.6-opus-max-thinking","No","135103","7","521740","4476","661326","Included"
"2026-03-06T14:19:49.254Z","","","Included","claude-4.6-opus-max-thinking","No","127443","27","2721495","14549","2863514","Included"
"2026-03-06T14:09:14.454Z","","","Included","claude-4.6-opus-max-thinking","No","95054","9","529645","9499","634207","Included"
"2026-03-06T13:17:30.267Z","","","Included","claude-4.6-opus-max-thinking","No","49310","14751","2521755","25327","2611143","Included"
"2026-03-06T13:10:28.141Z","","","Included","claude-4.6-opus-max-thinking","No","180110","155098","1230577","19227","1585012","Included"
"2026-03-06T12:26:47.067Z","","","Included","claude-4.6-opus-max-thinking","No","320032","40","5262150","27675","5609897","Included"
"2026-03-06T12:22:06.528Z","","","Included","claude-4.6-opus-max-thinking","No","128600","4","122974","719","252297","Included"
"2026-03-05T17:36:57.241Z","","","Included","claude-4.6-opus-max-thinking","No","21765","12434","743387","3702","781288","Included"
"2026-03-05T17:29:59.454Z","","","Included","claude-4.6-opus-max-thinking","No","99846","11","743276","6520","849653","Included"
"2026-03-05T17:24:05.793Z","","","Included","claude-4.6-opus-max-thinking","No","74195","6","173345","5569","253115","Included"
"2026-02-27T11:43:26.116Z","","","Included","claude-4.6-opus-max-thinking","No","37965","4","26725","824","65518","Included"
"2026-02-27T11:26:37.601Z","","","Included","claude-4.6-opus-max-thinking","No","2206","6","344461","959","347632","Included"
"2026-02-27T11:20:24.761Z","","","Included","claude-4.6-opus-max-thinking","No","85241","7","251790","10828","347866","Included"
"2026-02-27T10:56:53.313Z","","","Included","claude-4.6-opus-max-thinking","No","186277","435342","1494370","76397","2192386","Included"
"2026-02-06T02:41:46.046Z","","","Included","claude-4.5-opus-high-thinking","No","37162","18","35042","694","72916","Included"
"2026-02-06T02:35:14.370Z","","","Included","claude-4.5-opus-high-thinking","No","34346","10","0","508","34864","Included"
"2026-02-05T10:42:44.410Z","","","Included","claude-4.5-opus-high-thinking","No","32402","32","122544","1494","156472","Included"
"2026-02-01T15:09:25.500Z","","","Included","claude-4.5-opus-high-thinking","No","5701","30","335138","2608","343477","Included"
"2026-02-01T15:06:58.880Z","","","Included","claude-4.5-opus-high-thinking","No","81379","30","211218","4282","296909","Included"
"2026-02-01T14:55:35.763Z","","","Included","claude-4.5-opus-high-thinking","No","66401","79","487449","7634","561563","Included"
"2026-02-01T14:30:56.992Z","","","Included","claude-4.5-opus-high-thinking","No","24316","90","1147989","2391","1174786","Included"
"2026-02-01T14:22:35.693Z","","","Included","claude-4.5-opus-high-thinking","No","113463","233","1672260","11497","1797453","Included"
"2026-02-01T13:57:14.068Z","","","Included","claude-4.5-opus-high-thinking","No","15713","97838","1153431","13173","1280155","Included"
"2026-02-01T13:47:49.056Z","","","Included","claude-4.5-opus-high-thinking","No","156698","74","1240302","1786","1398860","Included"
"2026-02-01T13:41:06.035Z","","","Included","claude-4.5-opus-high-thinking","No","151851","18","149781","2320","303970","Included"
"2026-02-01T12:09:24.069Z","","","Included","claude-4.5-opus-high-thinking","No","6387","42","715271","1837","723537","Included"
"2026-02-01T12:04:40.657Z","","","Included","claude-4.5-opus-high-thinking","No","9761","74","1209791","2429","1222055","Included"
"2026-02-01T12:02:15.647Z","","","Included","claude-4.5-opus-high-thinking","No","12724","82","1230083","2953","1245842","Included"
"2026-02-01T11:59:51.513Z","","","Included","claude-4.5-opus-high-thinking","No","119446","50","545823","2038","667357","Included"
"2026-01-31T19:47:12.473Z","","","Included","claude-4.5-opus-high-thinking","No","105086","60424","890813","5455","1061778","Included"
"2026-01-31T19:31:57.221Z","","","Included","claude-4.5-opus-high-thinking","No","191484","120141","5345465","13813","5670903","Included"
"2026-01-31T19:27:40.690Z","","","Included","claude-4.5-opus-high-thinking","No","0","0","0","0","0","Included"
"2026-01-31T15:39:49.602Z","","","Included","claude-4.5-opus-high-thinking","No","402043","166249","14195446","57432","14821170","Included"
"2026-01-30T06:13:15.636Z","","","Included","claude-4.5-opus-high-thinking","No","241222","350","3790794","12809","4045175","Included"
